ticker,date,Dividends,Avg_Close_Prev_1_Month,Type,source
AGG,2003-11-01,0.359,101.7373915962551,History,yfinance
AGG,2003-12-01,0.272,101.64368358411286,History,yfinance
AGG,2003-12-01,0.291,101.64368358411286,History,yfinance
AGG,2004-02-01,0.278,102.74549942016601,History,yfinance
AGG,2004-03-01,0.246,102.9899986668637,History,yfinance
AGG,2004-04-01,0.26,103.9765220310377,History,yfinance
AGG,2004-05-01,0.27,101.8066664196196,History,yfinance
AGG,2004-06-01,0.317,99.77399978637695,History,yfinance
AGG,2004-07-01,0.317,99.76476106189546,History,yfinance
AGG,2004-08-01,0.322,100.86523837134952,History,yfinance
AGG,2004-09-01,0.318,101.91545486450195,History,yfinance
AGG,2004-10-01,0.317,102.63428642636254,History,yfinance
AGG,2004-11-01,0.279,102.7490474155971,History,yfinance
AGG,2004-12-01,0.308,102.52428545270648,History,yfinance
AGG,2004-12-01,0.304,102.52428545270648,History,yfinance
AGG,2005-02-01,0.309,102.64350090026855,History,yfinance
AGG,2005-03-01,0.287,102.78947448730469,History,yfinance
AGG,2005-04-01,0.343,101.26545403220437,History,yfinance
AGG,2005-05-01,0.334,101.68095216296967,History,yfinance
AGG,2005-06-01,0.348,102.21238127208892,History,yfinance
AGG,2005-07-01,0.333,102.92818173495206,History,yfinance
AGG,2005-08-01,0.331,102.23349990844727,History,yfinance
AGG,2005-09-01,0.34,101.83130380381708,History,yfinance
AGG,2005-10-01,0.337,102.00190662202381,History,yfinance
AGG,2005-11-01,0.364,100.72619083949498,History,yfinance
AGG,2005-12-01,0.379,100.07333337692987,History,yfinance
AGG,2005-12-01,0.384,100.07333337692987,History,yfinance
AGG,2006-02-01,0.371,100.78449974060058,History,yfinance
AGG,2006-03-01,0.373,100.09105240671258,History,yfinance
AGG,2006-04-01,0.383,99.39347806184188,History,yfinance
AGG,2006-05-01,0.375,98.42315874601665,History,yfinance
AGG,2006-06-01,0.383,97.97499951449308,History,yfinance
AGG,2006-07-01,0.388,97.70999977805398,History,yfinance
AGG,2006-08-01,0.409,97.79099922180175,History,yfinance
AGG,2006-09-01,0.393,98.87000042459239,History,yfinance
AGG,2006-10-01,0.414,99.56649971008301,History,yfinance
AGG,2006-11-01,0.422,99.60999922318892,History,yfinance
AGG,2006-12-01,0.398,100.30238124302456,History,yfinance
AGG,2006-12-01,0.369,100.30238124302456,History,yfinance
AGG,2007-02-01,0.393,99.79749984741211,History,yfinance
AGG,2007-03-01,0.394,100.02157914011102,History,yfinance
AGG,2007-04-01,0.389,100.5086371681907,History,yfinance
AGG,2007-05-01,0.382,100.00200042724609,History,yfinance
AGG,2007-06-01,0.428,99.73772777210583,History,yfinance
AGG,2007-07-01,0.421,98.03714243570964,History,yfinance
AGG,2007-08-01,0.431,98.19857097807385,History,yfinance
AGG,2007-09-01,0.429,98.88608816395636,History,yfinance
AGG,2007-10-01,0.414,99.87736872622841,History,yfinance
AGG,2007-11-01,0.417,100.05869591754416,History,yfinance
AGG,2007-12-01,0.407,101.03952353341239,History,yfinance
AGG,2007-12-01,0.409,101.03952353341239,History,yfinance
AGG,2008-02-01,0.415,102.71999940418061,History,yfinance
AGG,2008-03-01,0.383,102.31749992370605,History,yfinance
AGG,2008-04-01,0.415,102.41149940490723,History,yfinance
AGG,2008-05-01,0.326,102.13181894475764,History,yfinance
AGG,2008-06-01,0.394,101.76666877383278,History,yfinance
AGG,2008-07-01,0.384,100.11333356584821,History,yfinance
AGG,2008-08-01,0.402,99.90272799405184,History,yfinance
AGG,2008-09-01,0.394,100.11571430024647,History,yfinance
AGG,2008-10-01,0.39,100.39666675385975,History,yfinance
AGG,2008-11-01,0.4,95.4186955327573,History,yfinance
AGG,2008-12-01,0.403,96.97052604273746,History,yfinance
AGG,2008-12-01,0.376,96.97052604273746,History,yfinance
AGG,2009-02-01,0.366,102.90799980163574,History,yfinance
AGG,2009-03-01,0.327,101.3021055522718,History,yfinance
AGG,2009-04-01,0.351,100.69272717562589,History,yfinance
